Outcome,Predictor,Coef,StdError,t_value,p_value,FDR,logPval
first_comp_overall,total_nonsynVar_heteroplasmic,-0.0539614679147549,0.0580865026091479,-0.928984626219458,0.354214241725304,0.708428483450608,0.450733981321072
first_comp_fluency,tRNA_heteroplasmic,-0.401604887974225,0.436245009140869,-0.920594802368367,0.358566531684303,0.909324258767101,0.445430249584635
first_comp_overall2,total_nonsynVar_heteroplasmic,-0.051704875574603,0.0598458636765761,-0.863967405567587,0.388823162853385,0.725321828977828,0.410247871318362
first_z_af,tRNA_heteroplasmic,-0.408242094386852,0.477423107177823,-0.855094963459314,0.393702076256445,0.787404152512891,0.404832294876167
first_z_wld,tRNA_heteroplasmic,-0.36988575972177,0.455619549754087,-0.811830308689367,0.418024281470105,0.792961838504969,0.378798490946964
first_comp_memory2,tRNA_heteroplasmic,-0.352061352833675,0.454581206773116,-0.774474060053677,0.439726308672146,0.966816014305164,0.356817549915126
first_comp_memory2,CR_heteroplasmic,-0.112354420501522,0.14760745783443,-0.761170351077717,0.447609883604399,0.966816014305164,0.349100332448733
first_comp_overall2,CR_heteroplasmic,-0.0978476268117369,0.13935495153771,-0.702146753538634,0.483547885985219,0.725321828977828,0.315560511054905
first_comp_fluency,total_nonsynVar_heteroplasmic,-0.0411663793284218,0.0609443408877948,-0.675475010948328,0.500291786031968,0.909324258767101,0.300776627458936
first_comp_fluency,rRNA_heteroplasmic,-0.1305381063689,0.193593973412147,-0.674288068311888,0.501044065789057,0.909324258767101,0.300124077151815
first_z_lf,Coding_heteroplasmic,-0.0326560528211198,0.0485694530476493,-0.67235784576537,0.502268723597676,0.861597527054122,0.299063864627327
first_comp_memory,tRNA_heteroplasmic,-0.296139827216861,0.447955678273639,-0.661091803452842,0.509448380719004,0.876562675544427,0.292899813825554
first_z_wld,total_heteroplasmic,-0.022974198298989,0.0365584925302357,-0.62842302045108,0.53057024506982,0.792961838504969,0.275257109356197
first_z_lf,tRNA_heteroplasmic,-0.225931346125471,0.371137734333596,-0.608753368964617,0.543500504219105,0.861597527054122,0.264800048671572
first_comp_memory,CR_heteroplasmic,-0.0779331733679963,0.145511496322173,-0.535580867063911,0.592948232964743,0.876562675544427,0.226983220833248
first_z_wll,tRNA_heteroplasmic,-0.259602664549645,0.489912391948161,-0.529896097376354,0.596875355018219,0.968025481076707,0.224116352756103
first_z_lf,rRNA_heteroplasmic,0.0865522902161873,0.164557003347811,0.525971477696691,0.599593487481279,0.861597527054122,0.222143092912323
first_z_af,total_heteroplasmic,-0.0199680628428455,0.0383299791771791,-0.520951570324204,0.603078417046824,0.844439714819916,0.219626213769459
first_z_moca,rRNA_heteroplasmic,-0.142723582685862,0.275302436830119,-0.518424698049194,0.604860737480947,0.604860737480947,0.218344605356724
first_z_wld,Coding_heteroplasmic,-0.0309428693880592,0.0597078899671003,-0.518237529497509,0.604966384541888,0.792961838504969,0.218268756609614
first_z_lf,total_heteroplasmic,-0.0144479709848331,0.0297684918396232,-0.485344405845989,0.628056948209419,0.861597527054122,0.202000975416008
first_comp_overall2,total_heteroplasmic,-0.0151990552924167,0.0344414446399613,-0.441301329003537,0.659555622357551,0.791466746829061,0.180748573181557
first_comp_overall,CR_heteroplasmic,-0.0577868588635602,0.135427880438598,-0.426698392357698,0.670138887698379,0.8296829276021,0.173835179522986
first_comp_overall,total_heteroplasmic,-0.0132982829579472,0.0334439373031765,-0.397629108002308,0.691402439668417,0.8296829276021,0.160269092348339
first_z_lf,CR_heteroplasmic,-0.0436218813079026,0.120590110066085,-0.361736806476063,0.717997939211768,0.861597527054122,0.143876802262215
first_comp_memory,total_heteroplasmic,-0.012115197107,0.0359498530616979,-0.337002687777546,0.736530563614798,0.876562675544427,0.132809226643693
first_comp_memory2,total_heteroplasmic,-0.0117059872704469,0.0365001379908242,-0.320710767542568,0.748823481414071,0.966816014305164,0.125620545561797
first_z_af,Coding_heteroplasmic,-0.0200417571044229,0.0626089596319616,-0.320110048501616,0.749278004003214,0.844439714819916,0.125357016474691
first_comp_fluency,total_heteroplasmic,-0.0107280244223973,0.0350542172486056,-0.306040906471076,0.759947963709878,0.909324258767101,0.119216144360471
first_z_wld,rRNA_heteroplasmic,0.0603366516966413,0.202297481549351,0.298257058044106,0.765871202821503,0.792961838504969,0.115844259880497
first_comp_memory2,total_nonsynVar_heteroplasmic,-0.0182394397089404,0.0635295995601862,-0.287101443031462,0.774384289619029,0.966816014305164,0.11104346639307
first_z_wll,rRNA_heteroplasmic,-0.0574346862633348,0.217294668568073,-0.264317052239789,0.791855787554374,0.968025481076707,0.101353904738974
first_z_wld,total_nonsynVar_heteroplasmic,-0.0167423340174837,0.0636882643520734,-0.262879420373757,0.792961838504969,0.792961838504969,0.100747712714558
first_comp_memory,total_nonsynVar_heteroplasmic,-0.0143265642313361,0.0625793049551529,-0.228934537409821,0.819194973736549,0.876562675544427,0.0866127210230026
first_comp_fluency,CR_heteroplasmic,-0.0280324212938804,0.141981365736971,-0.197437326710973,0.843721191967698,0.909324258767101,0.0738010424667576
first_z_af,CR_heteroplasmic,-0.0305252032078162,0.155330556596261,-0.196517696689635,0.844439714819916,0.844439714819916,0.0734313495927805
first_comp_memory,rRNA_heteroplasmic,-0.035290615400254,0.198798832948116,-0.177519228241467,0.859311901987942,0.876562675544427,0.0658491729254445
first_comp_memory,Coding_heteroplasmic,-0.00913266870755942,0.0587075022663321,-0.155562208491314,0.876562675544427,0.876562675544427,0.0572170257539294
first_z_mocam,rRNA_heteroplasmic,-0.0360666611383987,0.286622069638336,-0.125833510252397,0.90001784260285,0.90001784260285,0.0457488807082867
first_comp_fluency,Coding_heteroplasmic,-0.00652922638008558,0.0572434279863605,-0.114060715959242,0.909324258767101,0.909324258767101,0.0412812227385625
first_z_wll,Coding_heteroplasmic,0.00649307333712906,0.064179399709101,0.101170677297692,0.91953419687058,0.968025481076707,0.0364321150000974
first_comp_overall2,Coding_heteroplasmic,0.00567363584834749,0.0562599520013925,0.100846795038273,0.919790917097212,0.919790917097212,0.0363108833834609
first_z_wll,total_nonsynVar_heteroplasmic,-0.00629747646466495,0.0684181082968412,-0.0920440015286963,0.926771454312579,0.968025481076707,0.0330273514740476
first_comp_memory2,Coding_heteroplasmic,-0.00523381943831762,0.0596071521261319,-0.0878052255749877,0.930134829376821,0.966816014305164,0.0314540929405525
first_z_lf,total_nonsynVar_heteroplasmic,-0.0030973897082099,0.0518451918343067,-0.0597430465318543,0.952430459478906,0.952430459478906,0.0211667239642586
first_z_wll,CR_heteroplasmic,-0.00889238066702696,0.159200205800457,-0.0558565902745926,0.955521645900275,0.968025481076707,0.019759470211726
first_comp_memory2,rRNA_heteroplasmic,0.00840986624867738,0.201853168345202,0.0416632858310905,0.966816014305164,0.966816014305164,0.0146561645668661
first_z_wll,total_heteroplasmic,-0.00157813530291944,0.0393119234072511,-0.0401439351255033,0.968025481076707,0.968025481076707,0.0141132107232615
first_comp_overall,Coding_heteroplasmic,0.00187064022642174,0.0546260930520953,0.0342444447681398,0.972722400294168,0.972722400294168,0.0120110828783628
